Year,Data Type,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
1995,First Unit of Quantity,0305510000,China,1995,kilograms,0,"2,549","2,721",0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305594000,China,1995,kilograms,917,"8,174","3,759","29,636","1,476",273,"4,085",0,206,0,"8,381","6,429"
1995,First Unit of Quantity,0305634000,China,1995,kilograms,0,0,0,0,0,0,0,"6,362",0,0,0,0
1995,First Unit of Quantity,0305691042,China,1995,kilograms,"2,040",0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0305693000,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,0,"4,903"
1995,First Unit of Quantity,0305695000,China,1995,kilograms,"2,223",0,"7,290",0,0,"1,193",0,0,0,0,0,"1,226"
1995,First Unit of Quantity,0305696000,China,1995,kilograms,"91,467","6,714",680,680,"14,750","6,350","2,694","1,030","3,782","7,256","10,671","1,588"
1995,First Unit of Quantity,0306110000,China,1995,kilograms,"1,613","27,251",0,0,0,"140,746","462,895","666,388","530,881","288,479","147,062","57,856"
1995,First Unit of Quantity,0306130003,China,1995,kilograms,"39,887",0,"14,479","37,074","17,772","3,017","2,980","4,729",0,"26,981","37,247",0
1995,First Unit of Quantity,0306130006,China,1995,kilograms,"36,564",0,0,"12,392","18,048","4,366","3,784","19,298",0,0,0,0
1995,First Unit of Quantity,0306130009,China,1995,kilograms,"9,694",0,0,"34,636","14,640","15,041","1,611","2,243",0,0,0,0
1995,First Unit of Quantity,0306130012,China,1995,kilograms,"3,375","18,097",0,"14,576",0,"6,695",816,"1,383",0,0,0,0
1995,First Unit of Quantity,0306130015,China,1995,kilograms,0,"8,817",0,"9,386",0,"4,442",302,0,0,0,0,0
1995,First Unit of Quantity,0306130018,China,1995,kilograms,0,"6,024",0,"4,820","3,549","36,041","14,860",0,0,0,0,0
1995,First Unit of Quantity,0306130021,China,1995,kilograms,0,"6,303",0,"2,214",0,631,0,0,0,0,0,"63,840"
1995,First Unit of Quantity,0306130024,China,1995,kilograms,"3,984","8,108",0,"6,108",0,294,0,0,0,0,0,0
1995,First Unit of Quantity,0306130027,China,1995,kilograms,"13,217","47,295","4,992","18,384","33,240","30,283",0,"33,192",0,"9,660",0,"20,176"
1995,First Unit of Quantity,0306130040,China,1995,kilograms,"1,530,006","1,119,241","808,769","923,252","1,304,936","1,480,272","1,783,443","534,596","821,223","978,532","1,021,041","862,056"
1995,First Unit of Quantity,0306142000,China,1995,kilograms,0,0,"22,159","16,202","10,777","23,410","18,879","8,610","10,296","17,237","33,762","57,520"
1995,First Unit of Quantity,0306144090,China,1995,kilograms,"181,813","41,940","30,530","11,172","15,000","37,009",0,"1,797",0,"6,830","9,456","15,000"
1995,First Unit of Quantity,0306190010,China,1995,kilograms,"7,033","13,178",0,"11,191","36,861","102,790","404,474","228,695","259,376","108,744","44,645","55,324"
1995,First Unit of Quantity,0306190090,China,1995,kilograms,"33,236","15,513",0,0,"6,212","18,986","196,627","73,319","125,066","129,073","17,259","8,452"
1995,First Unit of Quantity,0306230020,China,1995,kilograms,227,0,544,0,"16,710",0,0,"24,422","36,006",0,455,340
